titulo,abstract,clase_pri,clase_otr
Stabilizer Rényi entropy,"  We introduce a novel measure for the quantum property of nonstabilizerness -
commonly known as ""magic"" - by considering the Rényi entropy of the
probability distribution associated to a pure quantum state given by the square
of the expectation value of Pauli strings in that state. We show that this is a
good measure of nonstabilizerness from the point of view of resource theory and
show bounds with other known measures. The stabilizer Rényi entropy has the
advantage of being easily computable because it does not need a minimization
procedure. We present a protocol for an experimental measurement by randomized
measurements. We show that the nonstabilizerness is intimately connected to
out-of-time-order correlation functions and that maximal levels of
nonstabilizerness are necessary for quantum chaos.

    ",Quantum Physics (quant-ph),
A lower bound on intergalactic magnetic fields from time variability of 1ES 0229+200 from MAGIC and Fermi/LAT observations,"  Extended and delayed emission around distant TeV sources induced by the
effects of propagation of gamma rays through the intergalactic medium can be
used for the measurement of the intergalactic magnetic field (IGMF). We search
for delayed GeV emission from the hard-spectrum TeV blazar 1ES 0229+200 with
the goal to detect or constrain the IGMF-dependent secondary flux generated
during the propagation of TeV gamma rays through the intergalactic medium. We
analyze the most recent MAGIC observations over a 5 year time span and
complement them with historic data of the H.E.S.S. and VERITAS telescopes along
with a 12-year long exposure of the Fermi/LAT telescope. We use them to trace
source evolution in the GeV-TeV band over one-and-a-half decade in time. We use
Monte Carlo simulations to predict the delayed secondary gamma-ray flux,
modulated by the source variability, as revealed by TeV-band observations. We
then compare these predictions for various assumed IGMF strengths to all
available measurements of the gamma-ray flux evolution. We find that the source
flux in the energy range above 200 GeV experiences variations around its
average on the 14 years time span of observations. No evidence for the flux
variability is found in 1-100 GeV energy range accessible to Fermi/LAT.
Non-detection of variability due to delayed emission from electromagnetic
cascade developing in the intergalactic medium imposes a lower bound of
B>1.8e-17 G for long correlation length IGMF and B>1e-14 G for an IGMF of the
cosmological origin. Though weaker than the one previously derived from the
analysis of Fermi/LAT data, this bound is more robust, being based on a
conservative intrinsic source spectrum estimate and accounting for the details
of source variability in the TeV energy band. We discuss implications of this
bound for cosmological magnetic fields which might explain the baryon asymmetry
of the Universe.

    ",High Energy Astrophysical Phenomena (astro-ph.HE),; Cosmology and Nongalactic Astrophysics (astro-ph.CO)
Magic entanglement renormalization for quantum fields,"  Continuous tensor networks are variational wavefunctions proposed in recent
years to efficiently simulate quantum field theories (QFTs). Prominent examples
include the continuous matrix product state (cMPS) and the continuous
multi-scale entanglement renormalization ansatz (cMERA). While the cMPS can
approximate ground states of a class of QFT Hamiltonians that are both local
and interacting, cMERA is only well-understood for QFTs that are quasi-local
and non-interacting. In this paper we propose the magic cMERA, a concrete
realization of cMERA for a free boson QFT that simultaneously satisfies four
remarkable properties: (i) it is the exact ground state of a strictly local
Hamiltonian; (ii) in the massless case, its spectrum of scaling operators is
exactly soluble in real space; (iii) it has the short-distance structure of a
cMPS; (iv) it is generated by a quasi-local entangler that can be written as a
continuous matrix product operator. None of these properties is fulfilled by
previous cMERA proposals. Properties (iii)-(iv) establish a firm connection
between cMERA and cMPS wavefunctionals, opening the path to applying powerful
cMPS numerical techniques, valid for interacting QFTs, also to cMERA
calculations.

    ",Strongly Correlated Electrons (cond-mat.str-el),; High Energy Physics - Theory (hep-th); Quantum Physics (quant-ph)
"MAGIC: a general, powerful and tractable method for selective inference","  Selective inference is a recent research topic that tries to perform valid
inference after using the data to select a reasonable statistical model. We
propose MAGIC, a new method for selective inference that is general, powerful
and tractable. MAGIC is a method for selective inference after solving a convex
optimization problem with smooth loss and $\ell_1$ penalty. Randomization is
incorporated into the optimization problem to boost statistical power. Through
reparametrization, MAGIC reduces the problem into a sampling problem with
simple constraints. MAGIC applies to many $\ell_1$ penalized optimization
problem including the Lasso, logistic Lasso and neighborhood selection in
graphical models, all of which we consider in this paper.

    ",Statistics Theory (math.ST),
Chaos by Magic,"  There is a property of a quantum state called magic. It measures how
difficult for a classical computer to simulate the state. In this paper, we
study magic of states in the integrable and chaotic regimes of the higher-spin
generalization of the Ising model through two quantities called ""Mana"" and
""Robustness of Magic"" (RoM). We find that in the chaotic regime, Mana increases
monotonically in time in the early-time region, and at late times these
quantities oscillate around some non-zero value that increases linearly with
respect to the system size. Our result also suggests that under chaotic
dynamics, any state evolves to a state whose Mana almost saturates the optimal
upper bound, i.e., the state becomes ""maximally magical."" We find that RoM also
shows similar behaviors. On the other hand, in the integrable regime, Mana and
RoM behave periodically in time in contrast to the chaotic case. In the anti-de
Sitter/conformal field theory correspondence (AdS/CFT correspondence),
classical spacetime emerges from the chaotic nature of the dual quantum system.
Our result suggests that magic of quantum states is strongly involved behind
the emergence of spacetime geometry.

    ",High Energy Physics - Theory (hep-th),; Strongly Correlated Electrons (cond-mat.str-el); Quantum Physics (quant-ph)
Magic angles and correlations in twisted nodal superconductors,"  Motivated by recent advances in the fabrication of twisted bilayers of 2D
materials, we consider the low-energy properties of a twisted pair of
two-dimensional nodal superconductors. We study both the cases of singlet and
triplet superconductors. It is demonstrated that the Bogoliubov-de Gennes (BdG)
quasiparticle dispersion undergoes dramatic reconstruction due to the twist. In
particular, the velocity of the neutral massless Dirac excitations near the gap
nodes is strongly renormalized by the interlayer hopping and vanishes at a
``magic angle'' where in the limit of a circular Fermi surface a quadratic band
touching is formed. In addition, it is shown that the BdG disperion can be
tuned with an interlayer displacement field, magnetic field, and current, which
can suppress the velocity renormalization, create finite BdG Fermi surfaces, or
open a gap, respectively. Finally, interactions between quasiparticles are
shown to lead to the emergence of a correlated superconducting state breaking
time-reversal symmetry in the vicinity of the magic angle. Estimates of the
magic angle in a variety of nodal superconductors are presented, ranging from
the cuprates to the organic and heavy fermion superconductors, all of which are
shown to be promising for the experimental realization of our proposal.

    ",Superconductivity (cond-mat.supr-con),; Strongly Correlated Electrons (cond-mat.str-el)
Goodness of Generalized Seniority in Semi-magic Nuclei,"  Symmetry plays an important role in understanding the nuclear structure
properties from the rotation of a nucleus to the spin, parity and isospin of
nuclear states. This simplifies the complexity of the nuclear problems in one
way or the other. Seniority is also a well known quantum number which arises
due to the symmetry in the pairing interaction of nuclei. We present empirical
as well as theoretical evidences based on decay rates which support the
goodness of seniority at higher spins as well as in nrich or, n-deficient
nuclei. We find that the generalized seniority governs the identical trends of
high-spin isomers in different semi-magic chains, where different set of
nucleon orbitals from different valence spaces are involved.

    ",Nuclear Theory (nucl-th),
Magic Fermions: Carroll and Flat Bands,"  The Carroll algebra is constructed as the $c\to0$ limit of the Poincare
algebra and is associated to symmetries on generic null surfaces. In this
paper, we begin investigations of Carrollian fermions or fermions defined on
generic null surfaces. Due to the availability of two different (degenerate)
metrics on Carroll spacetimes, there is the possibility of two different
versions of Carroll Clifford algebras. We consider both possibilities and
construct explicit representations of Carrollian gamma matrices and show how to
build higher spacetime dimensional representations out of lower ones. Actions
for Carroll fermions are constructed with these gamma matrices and the
properties of these actions are investigated.
",High Energy Physics - Theory (hep-th),; Strongly Correlated Electrons (cond-mat.str-el); Superconductivity (cond-mat.supr-con)
"First Combined Study on LIV from Observations of Energy-dependent Time Delays from Multiple-type Gamma-ray Sources -- Part I. Motivation, Method Description and Validation through Simulations of H.E.S.S., MAGIC and VERITAS Datasets","  Gamma-ray astronomy has become one of the main experimental ways to test the
modified dispersion relations (MDRs) of photons in vacuum, obtained in some
attempts to formulate a theory of Quantum Gravity. The MDRs in use imply time
delays which depend on the energy, and which increase with distance following
some function of redshift. The use of transient, or variable, distant and
highly energetic sources, already allows us to set stringent limits on the
energy scale related to this phenomenon, usually thought to be of the order of
the Planck energy, but robust conclusions on the existence of MDR-related
propagation effects still require the analysis of a large population of
sources.
",High Energy Astrophysical Phenomena (astro-ph.HE),; General Relativity and Quantum Cosmology (gr-qc)
Moiré Landau fans and magic zeros,"  We study the energy spectrum of moiré systems under a uniform magnetic
field. The superlattice potential generally broadens Landau levels into Chern
bands with finite bandwidth. However, we find that these Chern bands become
flat at a discrete set of magnetic fields which we dub ""magic zeros"". The flat
band subspace is generally different from the Landau level subspace in the
absence of the moiré superlattice. By developing a semiclassical quantization
method and taking account of superlattice induced Bragg reflection, we prove
that magic zeros arise from the simultaneous quantization of two distinct
$k$-space orbits. The flat bands at magic zeros provide a new setting for
exploring crystalline fractional quantum Hall physics.

    ",Mesoscale and Nanoscale Physics (cond-mat.mes-hall),
